#,AccountCode,DebitAmount,CreditAmount,DueDate,Memo,Reference,Server Response
1,_SYS00000000082,4378182.91,,20190328,NCLR - DEPOSITO 0001 T-AUTOMATICO MONETARIOS MONETARIOS,37911441,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15246""RetType":"42"}
2,_SYS00000000082,70168.16,,20190328,NCLR - DEPOSITO 0001 AGENCIA MONTUFAR,38552305,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15247""RetType":"42"}
3,_SYS00000000082,1953.93,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00000130,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15248""RetType":"42"}
4,_SYS00000000082,36.02,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00001084,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15249""RetType":"42"}
5,_SYS00000000082,10382.84,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00002094,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15250""RetType":"42"}
6,_SYS00000000082,148981.43,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00002774,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15251""RetType":"42"}
7,_SYS00000000082,127244.78,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00011699,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15252""RetType":"42"}
8,_SYS00000000082,144123.21,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00038026,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15253""RetType":"42"}
9,_SYS00000000082,7791.02,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00062006,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15254""RetType":"42"}
10,_SYS00000000082,55688.7,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00073920,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15255""RetType":"42"}
11,_SYS00000000082,2972.37,,20190328,NMSC - NOTA DE CREDITO 0002 OPERACIONES ACH,00178727,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15256""RetType":"42"}
12,_SYS00000000082,64997.46,,20190328,NMSC - NOTA DE CREDITO 0002 OPERACIONES ACH,00178728,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15257""RetType":"42"}
13,_SYS00000000082,22.24,,20190328,NMSC - NOTA DE CREDITO 0002 OPERACIONES ACH,00178732,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15258""RetType":"42"}
14,_SYS00000000082,64673.47,,20190328,NMSC - NOTA DE CREDITO 0002 OPERACIONES ACH,00178735,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15259""RetType":"42"}
15,_SYS00000000082,59520,,20190328,NMSC - NOTA DE CREDITO 0002 OPERACIONES ACH,00179960,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15260""RetType":"42"}
16,_SYS00000000082,65264.58,,20190328,NMSC - NOTA DE CREDITO 0002 OPERACIONES ACH,00179962,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15261""RetType":"42"}
17,_SYS00000000082,64257.55,,20190328,NMSC - NOTA DE CREDITO 0002 OPERACIONES ACH,00179964,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15262""RetType":"42"}
18,_SYS00000000082,3964.5,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00251002,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15263""RetType":"42"}
19,_SYS00000000082,372708.62,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00284711,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15264""RetType":"42"}
20,_SYS00000000082,25064.52,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00284722,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15265""RetType":"42"}
21,_SYS00000000082,2153.8,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00285426,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15266""RetType":"42"}
22,_SYS00000000082,2184,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00285427,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15267""RetType":"42"}
23,_SYS00000000082,1680,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00285529,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15268""RetType":"42"}
24,_SYS00000000082,25011.98,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00379002,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15269""RetType":"42"}
25,_SYS00000000082,362.11,,20190328,NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL,00506002,Respuesta: {"xmlns":"http://www.sap.com/SBO/DIS""RetKey":"_SYS00000000082\t15270""RetType":"42"}
