Sequence	AccountCode	DebitAmount	CreditAmount	DueDate	Memo	Reference
Sequence	AccountCode	DebitAmount	CreditAmount	DueDate	Memo	Reference
1	_SYS00000000088	4378182.91		20190328	NCLR - DEPOSITO 0001 T-AUTOMATICO MONETARIOS MONETARIOS	37911441
2	_SYS00000000088	70168.16		20190328	NCLR - DEPOSITO 0001 AGENCIA MONTUFAR	38552305
3	_SYS00000000088	1953.93		20190328	NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL	00000130
4	_SYS00000000088	36.02		20190328	NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL	00001084
5	_SYS00000000088	10382.84		20190328	NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL	00002094
6	_SYS00000000088	148981.43		20190328	NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL	00002774
7	_SYS00000000088	127244.78		20190328	NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL	00011699
8	_SYS00000000088	144123.21		20190328	NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL	00038026
10	_SYS00000000088	55688.7		20190328	NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL	00073920
9	_SYS00000000088	7791.02		20190328	NMSC - NOTA DE CREDITO 0002 PAGO ELECTRONICO BCA.TOTAL	00062006
11	_SYS00000000088	2972.37		20190328	NMSC - NOTA DE CREDITO 0002 OPERACIONES ACH	00178727
12	_SYS00000000088	64997.46		20190328	NMSC - NOTA DE CREDITO 0002 OPERACIONES ACH	00178728
13	_SYS00000000088	22.24		20190328	NMSC - NOTA DE CREDITO 0002 OPERACIONES ACH	00178732
14	_SYS00000000088	64673.47		20190328	NMSC - NOTA DE CREDITO 0002 OPERACIONES ACH	00178735
15	_SYS00000000088	59520		20190328	NMSC - NOTA DE CREDITO 0002 OPERACIONES ACH	00179960
